Mae Hong Son,Mae Hong Son,19.30100405,97.96899665,9109,Thailand,TH,THA,Mae Hong Son
Phangnga,Phangnga,8.451000086,98.53399857,9676,Thailand,TH,THA,Phangnga
Ranong,Ranong,9.962001095,98.63800257,24561,Thailand,TH,THA,Ranong
Krabi,Krabi,8.052003097,98.91199867,31219,Thailand,TH,THA,Krabi
Phatthalung,Phatthalung,7.61499898,100.0809996,43522,Thailand,TH,THA,Phatthalung
Satun,Satun,6.616701099,100.0666986,34544,Thailand,TH,THA,Satun
Lamphun,Lamphun,18.50300114,99.07399856,14030,Thailand,TH,THA,Lamphun
Kamphaeng Phet,Kamphaeng Phet,16.47299704,99.52900267,58787,Thailand,TH,THA,Kamphaeng Phet
Phichit,Phichit,16.43900405,100.3490017,35760,Thailand,TH,THA,Phichit
Phetchabun,Phetchabun,16.41899707,101.1590017,50656,Thailand,TH,THA,Phetchabun
Supham Buri,Supham Buri,14.47100105,100.1289966,53399,Thailand,TH,THA,Suphan Buri
Ang Thong,Ang Thong,14.58330306,100.4499997,13738,Thailand,TH,THA,Ang Thong
Chainat,Chainat,15.17900402,100.1259997,15469,Thailand,TH,THA,Chai Nat
Nakhon Nayok,Nakhon Nayok,14.20000203,101.2159987,21309,Thailand,TH,THA,Nakhon Nayok
Sing Buri,Sing Buri,14.886999,100.4010036,20046,Thailand,TH,THA,Sing Buri
Nakhon Pathom,Nakhon Pathom,13.81799707,100.0639986,117927,Thailand,TH,THA,Nakhon Pathom
Prachuap Khiri Khan,Prachuap Khiri Khan,11.80299605,99.80000169,33521,Thailand,TH,THA,Prachuap Khiri Khan
Samut Sakhon,Samut Sakhon,13.536,100.2740046,63498,Thailand,TH,THA,Samut Sakhon
Samut Songkhram,Samut Songkhram,13.41299699,100.0009986,35065,Thailand,TH,THA,Samut Songkhram
Yasothon,Yasothon,15.78799812,104.1509977,21643,Thailand,TH,THA,Yasothon
Chachoengsao,Chachoengsao,13.67900105,101.0760037,49741,Thailand,TH,THA,Chachoengsao
Trat,Trat,12.23700309,102.5090016,21590,Thailand,TH,THA,Trat
Kalasin,Kalasin,16.42799707,103.5090007,55102,Thailand,TH,THA,Kalasin
Maha Sarakham,Maha Sarakham,16.18399803,103.2980045,51584,Thailand,TH,THA,Maha Sarakham
Roi Et,Roi Et,16.050996,103.6549986,39328,Thailand,TH,THA,Roi Et
Pattani,Pattani,6.864003023,101.2500006,96815.5,Thailand,TH,THA,Pattani
Chumphon,Chumphon,10.51267743,99.18721676,70760.5,Thailand,TH,THA,Chumphon
Thung Song,Thung Song,8.153958353,99.72863074,26037.5,Thailand,TH,THA,Nakhon Si Thammarat
Trang,Trang,7.563400084,99.60801794,103728.5,Thailand,TH,THA,Trang
Yala,Yala,6.550490335,101.2850732,120849,Thailand,TH,THA,Yala
Chiang Rai,Chiang Rai,19.91187115,99.82645422,97941.5,Thailand,TH,THA,Chiang Rai
Lampang,Lampang,18.29155662,99.48125565,180110,Thailand,TH,THA,Lampang
Nan,Nan,18.78684938,100.7714611,53576.5,Thailand,TH,THA,Nan
Phayao,Phayao,19.17070192,99.90830969,20088,Thailand,TH,THA,Phayao
Phrae,Phrae,18.15329632,100.1629195,28254.5,Thailand,TH,THA,Phrae
Phitsanulok,Phitsanulok,16.8283126,100.2728869,133722,Thailand,TH,THA,Phitsanulok
Sukhothai,Sukhothai,17.01186729,99.7515234,10276,Thailand,TH,THA,Sukhothai
Uttaradit,Uttaradit,17.63162274,100.0971871,67471.5,Thailand,TH,THA,Uttaradit
Kanchanaburi,Kanchanaburi,14.01742474,99.52202836,63699,Thailand,TH,THA,Kanchanaburi
Mae Sot,Mae Sot,16.71617474,98.57076859,45172,Thailand,TH,THA,Tak
Tak,Tak,16.88474326,99.12933915,28647.5,Thailand,TH,THA,Tak
Uthai Thani,Uthai Thani,15.38186342,100.026442,19233,Thailand,TH,THA,Uthai Thani
Lop Buri,Lop Buri,14.80401756,100.6186023,42130.5,Thailand,TH,THA,Lop Buri
Prachin Buri,Prachin Buri,14.0572156,101.3767989,56178.5,Thailand,TH,THA,Prachin Buri
Ayutthaya,Ayutthaya,14.35879925,100.5684244,113788.5,Thailand,TH,THA,Phra Nakhon Si Ayutthaya
Pathum Thani,Pathum Thani,14.01711468,100.5333361,154412,Thailand,TH,THA,Pathum Thani
Saraburi,Saraburi,14.53036501,100.8799816,70769,Thailand,TH,THA,Saraburi
Nonthaburi,Nonthaburi,13.83368919,100.4833134,258550,Thailand,TH,THA,Nonthaburi
Phetchaburi,Phetchaburi,13.11329388,99.9411759,68549,Thailand,TH,THA,Phetchaburi
Hua Hin,Hua Hin,12.56970949,99.94432816,33963,Thailand,TH,THA,Prachuap Khiri Khan
Ratchaburi,Ratchaburi,13.54189821,99.82154496,99722,Thailand,TH,THA,Ratchaburi
Samut Prakan,Samut Prakan,13.60690716,100.6114709,388920,Thailand,TH,THA,Samut Prakan
Sisaket,Sisaket,15.12025148,104.3298486,42856,Thailand,TH,THA,Si Sa Ket
Si Racha,Si Racha,13.15902753,100.9286608,94204.5,Thailand,TH,THA,Chon Buri
Chon Buri,Chon Buri,13.40040814,100.9999743,221340.5,Thailand,TH,THA,Chon Buri
Chanthaburi,Chanthaburi,12.61327272,102.0978918,94950.5,Thailand,TH,THA,Chanthaburi
Aranyaprathet,Aranyaprathet,13.68235476,102.4969372,21354,Thailand,TH,THA,Sa Kaeo
Rayong,Rayong,12.67184796,101.2814559,37035,Thailand,TH,THA,Rayong
Buriram,Buriram,15.00043968,103.116641,47292,Thailand,TH,THA,Buri Ram
Chaiyaphum,Chaiyaphum,15.8040082,102.0386189,55191,Thailand,TH,THA,Chaiyaphum
Bua Yai,Bua Yai,15.58402163,102.4185957,17550.5,Thailand,TH,THA,Nakhon Ratchasima
Surin,Surin,14.88682904,103.4914502,54604.5,Thailand,TH,THA,Surin
Loei,Loei,17.49188967,101.7315059,29908,Thailand,TH,THA,Loei
Nong Khai,Nong Khai,17.87326174,102.747878,84057,Thailand,TH,THA,Nong Khai
Sakhon Nakhon,Sakhon Nakhon,17.16790428,104.1478959,67755.5,Thailand,TH,THA,Sakon Nakhon
Udon Thani,Udon Thani,17.4047632,102.7893225,239192,Thailand,TH,THA,Udon Thani
Nakhon Phanom,Nakhon Phanom,17.39447959,104.76946,44986,Thailand,TH,THA,Nakhon Phanom
Narathiwat,Narathiwat,6.431841246,101.8214229,57941.5,Thailand,TH,THA,Narathiwat
Khon Kaen,Khon Kaen,16.42004295,102.8300435,199317.5,Thailand,TH,THA,Khon Kaen
Phuket,Phuket,7.876533426,98.3815295,108595.5,Thailand,TH,THA,Phuket
Nakhon Si Thammarat,Nakhon Si Thammarat,8.399989847,99.97001135,176585.5,Thailand,TH,THA,Nakhon Si Thammarat
Songkhla,Songkhla,7.209959126,100.5600012,48616,Thailand,TH,THA,Songkhla (Songkhla Lake)
Hat Yai,Hat Yai,6.996432107,100.4714278,254825,Thailand,TH,THA,Songkhla
Nakhon Sawan,Nakhon Sawan,15.70003522,100.0700052,111915,Thailand,TH,THA,Nakhon Sawan
Ubon Ratchathani,Ubon Ratchathani,15.24995933,104.8300248,198213,Thailand,TH,THA,Ubon Ratchathani
Surat Thani,Surat Thani,9.1500991,99.34012732,142414,Thailand,TH,THA,Surat Thani
Chiang Mai,Chiang Mai,18.7999752,98.98004594,299081.5,Thailand,TH,THA,Chiang Mai
Nakhon Ratchasima,Nakhon Ratchasima,15.00002626,102.1000105,271882.5,Thailand,TH,THA,Nakhon Ratchasima
Bangkok,Bangkok,13.74999921,100.5166447,5904238,Thailand,TH,THA,Bangkok Metropolis
